loginwindow,Do Not Track
MacSystem Preferences,Do Not Track
UI Agent Mac,Do Not Track
Screen Saver Engine,Do Not Track
Finder,Do Not Track
UserNotificationCenter,Do Not Track
Installer,Do Not Track
Wi-Fi,Do Not Track
Setup Assistant,Do Not Track
Archive Utility,Do Not Track
Mobile Device Updated,Do Not Track
Command Line Tools,Do Not Track
Flow,Do Not Track
Time Out,Do Not Track
Rubymine,Code
iTerm,Code
Chrome,Browsing
Numbers,Documenting
Slack,Messaging
Messages,Messaging
Apple Mail,Email
Zoom,Video Conferencing
Ulysses,Writing
Airtable,Task Management
Microsoft Excel,Documenting
Command E,Productivity
1Password 7,Utility
WebStorm,Code
Sketch,Design
Rize (Staging),Productivity
Electron,Code
Microsoft Word,Documenting
Safari,Browsing
TextEdit,Writing
Notes,Writing
Creative Cloud,Design
Sublime Text,Code
Terminal,Code
Code - Insiders,Code
FaceTime,Personal
IntelliJ IDEA,Code
Mozilla Firefox,Browsing
Preview,Personal
Spotify,Entertainment
OBS,Code
Figma,Design
PyCharm,Code
Notion,Documenting
Xcode,Code
Docker Desktop,Code
Twitch,Entertainment
GitHub Desktop,Code
Microsoft PowerPoint,Documenting
QuickTime Player,Personal
Tableau Public,Code
Skype,Personal
Microsoft Teams,Messaging
Cisco Webex Meetings,Video Conferencing
mmhmm,Personal
Photos,Personal
Find My,Personal
Dropbox,Documenting
Evernote,Documenting
Code,Code
Docker,Code
Music,Entertainment
Plan,Task Management
Reminders,Task Management
App Store,App Management
Pages,Documenting
Brave,Browsing
WhatsApp,Messaging
Mattermost,Messaging
iCal,Scheduling
Outlook,Email
GoodNotes,Writing
Superhuman,Email
Zeplin,Design
OmniFocus 3,Task Management
Nuclino,Documenting
iPhone Simulator,Code
KeepPassX,Utility
Activity Monitor,Utility
Desktop Dimmer,Personalization
Steam,Entertainment
Flux,Personalization
Postman,Code
Discord,Messaging
Telegram,Messaging
Edge,Browsing
Chromium,Browsing
Dashlane,Utility
Spark,Email
Puppetry,Code
Dropbox Paper,Documenting
Fantastical,Task Management
Bluejeans,Video Conferencing
Things,Task Management
Atom,Code
Adobe Illustrator,Design
Signal,Messaging
Microsoft Edge,Browsing
Apple TV,Entertainment
DataGrip,Code
Calculator,Utility
Dictionary,Utility
Tandem,Messaging
PhotoBooth,Entertainment
Kindle,Reading
Keynote,Documenting
Clocker,Utility
PHP Storm,Code
Kiwi,Email
Citrix XenApp,Virtual Machine
Viber,Messaging
Tor,Browsing
Microsoft RDC,Documenting
Azure Data Studio,Code
Photoshop,Design
Amazon Chime,Video Conferencing
Adobe Reader,Documenting
Intellij,Code
Nova,Code
Canary,Utility
VLC,Entertainment
Hyper,Code
TickTick,Task Management
Cisco Spark,Messaging
Obsidian,Documenting
Stickies,Documenting
Unclutter,Utility
Adobe XD,Design
CleanShot,Utility
Edison Mail,Email
Adobe Dreamweaver,Code
Sequel Pro,Code
Linear,Task Management
Adobe Acrobat,Utility
Grammarly,Utility
DB Beaver,Code
GoToMeeting,Video Conferencing
Google Chat,Video Conferencing
Meet,Video Conferencing
AnyDesk,Video Conferencing
Mighty,Browsing
InDesign,Design
Warp,Code
Clean My Mac,Utility
SigmaOS,Browsing
Slack,Messaging
Explorer,Utility
Electron,Code
VS Debug Console,Code
Git Bash,Code
WebStorm,Code
Brave,Browsing
Visual Studio,Code
RubyMine,Code
OneNote,Documenting
Rize (Staging),Productivity
Rize,Productivity
Search App,Utility
Shell Experience Host,Utility
Firefox,Browsing
Chrome,Browsing
Command Line Interpreter,Code
Powershell,Code
Cortana,Productivity
Accessibility Insights,Utility
Sublime Text,Code
Microsoft Screen Magnifier,Utility
Start Menu,Utility
Edge,Browsing
File Picker UI,Utility
Windows Task Manager,Utility
Screen Sketch,Utility
System Settings,Utility
Excel,Documenting
Discord,Messaging
Vivaldi,Browsing
Sidekick,Browsing
Outlook,Email
Microsoft Word,Documenting
Powerpoint,Documenting
Picasa,Design
Photoshop,Design
Visual Studio Code,Code
Zoom,Video Conferencing
Opera,Browsing
WhatsApp,Messaging
Teams,Messaging
Illustrator,Design
Obsidian,Writing
AutoCAD,Code
Wavebox,Browsing
SketchUp,Design
Camtasia Studio,Video Editing
Notepad,Writing
Mailbird,Email
Notion,Documenting
Mattermost,Task Management
Postbox,Email
Adobe Premiere Pro,Video Editing
Adobe Acrobat,Documenting
TradingView,Finance
JetBrains Rider,Code
Spotify,Entertainment
ClickUp,Task Management
Notepad++,Writing
IntelliJ IDEA,Code
Netflix,Entertainment
OneDrive,Documenting
Creative Cloud,Documenting
MS Info,Utility
Google Chrome,Browsing
Login Window,Do Not Track
MongoDB Compass,Database